,Unnamed: 0,id,name,popularity,artist_name,explicit,release date,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,hollywood,show tunes,post-teen pop,broadway,vocal jazz,alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap,atl hip hop,dance pop,pop,pop rap,r&b,urban contemporary,deep talent show,movie tunes,philly rap,southern hip hop,australian dance,australian pop,deep underground hip hop,indie pop rap,trap,underground hip hop
20,20,3bRHPkiV43QCgzAJ5IuV65,Look Down,45,Hugh Jackman,False,2013-01-01,0.406,0.36700000000000005,-12.005999999999998,0,0.151,0.903,0.0,0.128,0.33299999999999996,76.01899999999999,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,3WoatVXvmr0qK7xVcVIyPi,Master Of The House,44,Sacha Baron Cohen,False,2013-01-01,0.45299999999999996,0.242,-13.384,1,0.243,0.843,0.0,0.723,0.574,166.951,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0g8H61FNXHHhMVHB0jwdzH,Do You Hear The People Sing?,52,Aaron Tveit,False,2013-01-01,0.32799999999999996,0.384,-10.323,1,0.0379,0.8859999999999999,0.0,0.14300000000000002,0.504,76.744,"['broadway', 'hollywood', 'show tunes']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,1v4kdQ6zcsgHSxKMHefzKV,The Club,50,'In The Heights' Original Broadway Company,False,2008-06-03,0.742,0.589,-6.966,1,0.134,0.6659999999999999,2.8300000000000003e-05,0.45399999999999996,0.851,104.76,"['broadway', 'hollywood', 'show tunes']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0P09TBGSKiQwfUsEh1UafT,The World Was Wide Enough,61,Leslie Odom Jr.,False,2015-09-25,0.653,0.35100000000000003,-12.776,1,0.648,0.466,0.0,0.107,0.309,116.605,"['broadway', 'show tunes', 'vocal jazz']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,3QFWe1dM5oUY0O1TTKapUS,Wrote My Way Out,35,Nas,True,2016-11-18,0.607,0.6970000000000001,-8.347999999999999,0,0.469,0.0757,0.0,0.46399999999999997,0.20600000000000002,89.214,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,1mGO8rwCE9zk7H06OxcU5m,History Has Its Eyes on You,64,Christopher Jackson,False,2015-09-25,0.436,0.373,-9.769,0,0.0298,0.8029999999999999,0.0,0.12300000000000001,0.27,77.61399999999999,"['hollywood', 'show tunes']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,3qEqxHQFSR6aFH0GKkWKrm,Wait For It,44,Usher,False,2016-11-18,0.514,0.742,-6.754,1,0.109,0.0467,5.1e-05,0.146,0.478,183.979,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,28,0Gl5s8IhMmQE5YQwM8Qx1J,Never Enough,77,Loren Allred,False,2017-12-08,0.27699999999999997,0.39399999999999996,-8.902999999999999,1,0.0336,0.423,0.0,0.0952,0.22699999999999998,86.777,"['deep talent show', 'hollywood', 'movie tunes']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
29,29,3ak8BzpcrFeLfiQnrmR5wJ,"My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix",42,The Roots,False,2016-11-04,0.578,0.965,-4.788,1,0.32799999999999996,0.107,0.0,0.0984,0.456,94.07600000000001,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'philly rap', 'southern hip hop']",0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
30,30,1ybJ2itxCxPCPkcA9sOgTO,Satisfied (feat. Miguel & Queen Latifah),55,Sia,False,2016-11-11,0.58,0.544,-7.636,0,0.0697,0.49700000000000005,0.0,0.168,0.308,123.984,"['australian dance', 'australian pop', 'dance pop', 'pop']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
31,31,1A2gifkaEngunqZAFHUS0j,First Burn,61,Ari Afsar,False,2018-04-30,0.679,0.47200000000000003,-6.871,0,0.036000000000000004,0.34299999999999997,0.0,0.649,0.34600000000000003,99.024,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,6SHI6STEW51cQkAXBRpLNj,Your Obedient Servant,61,Leslie Odom Jr.,False,2015-09-25,0.736,0.37,-11.072000000000001,1,0.502,0.293,0.0,0.042,0.62,165.908,"['broadway', 'show tunes', 'vocal jazz']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
